route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RDEC24-801-1_Weekday-00,61420255,,0,154,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420256,,0,111,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420257,,0,157,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420258,,0,104,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420260,,1,158,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420261,,0,103,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420262,,0,151,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420263,,0,154,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420264,,1,166,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420268,,1,160,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420279,,0,116,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420284,,0,105,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420299,,1,111,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420325,,1,104,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420326,,0,154,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420327,,0,117,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420328,,1,102,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420335,,1,116,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420336,,0,152,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420347,,1,103,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420348,,0,156,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467684,,0,151,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467685,,0,107,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467686,,0,155,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467687,,0,112,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467688,,0,159,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467689,,0,166,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467690,,0,165,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467691,,0,108,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467692,,0,154,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467693,,0,168,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467694,,0,158,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467695,,0,152,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467696,,0,157,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467697,,0,103,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467698,,0,160,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467699,,0,164,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467700,,0,161,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467701,,0,162,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467702,,0,151,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467703,,0,108,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467704,,0,105,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467705,,0,107,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467706,,0,153,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467707,,0,154,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467708,,0,109,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467709,,0,156,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467710,,0,110,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467711,,0,112,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467712,,0,155,801NB_RC_221121
801,RDEC24-801-1_Weekday-07,61467713,,0,152,801NB_RC_221121
