service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMB0,20250306,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250306,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250306,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250306,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250307,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250307,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250307,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250307,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250310,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250310,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250310,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250310,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250311,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250311,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250311,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250311,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250312,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250312,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250312,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250312,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250313,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250313,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250313,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250313,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250314,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250314,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250314,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250314,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250317,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250317,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250317,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250317,2
