route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
210-13186,DEC24-D18CAR-1_Weekday,10210003431419-DEC24,,0,2101800,2100343_DEC24,60967469-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451635-DEC24,,0,2101000,2100345_DEC24,60967470-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431645-DEC24,,0,2100800,2100343_DEC24,60967471-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431624-DEC24,,0,2100900,2100343_DEC24,60967472-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451430-DEC24,,0,2101900,2100345_DEC24,60967473-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451511-DEC24,,0,2100700,2100345_DEC24,60967474-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451614-DEC24,,0,2102402,2100345_DEC24,60967475-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431358-DEC24,,0,2101600,2100343_DEC24,60967476-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431521-DEC24,,0,2100300,2100343_DEC24,60967477-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431544-DEC24,,0,2100600,2100343_DEC24,60967478-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300621-DEC24,,1,2100600,2100330_DEC24,60967479-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431500-DEC24,,0,2102100,2100343_DEC24,60967480-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431603-DEC24,,0,2102502,2100343_DEC24,60967481-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310637-DEC24,,1,2100800,2100331_DEC24,60967482-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451450-DEC24,,0,2100500,2100345_DEC24,60967483-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431440-DEC24,,0,2102000,2100343_DEC24,60967484-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300708-DEC24,,1,2101100,2100330_DEC24,60967485-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310715-DEC24,,1,2101000,2100331_DEC24,60967486-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300726-DEC24,,1,2100100,2100330_DEC24,60967487-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310657-DEC24,,1,2101700,2100331_DEC24,60967488-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300746-DEC24,,1,2101400,2100330_DEC24,60967489-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310734-DEC24,,1,2101200,2100331_DEC24,60967490-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300806-DEC24,,1,2101600,2100330_DEC24,60967491-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310754-DEC24,,1,2101300,2100331_DEC24,60967492-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300827-DEC24,,1,2101800,2100330_DEC24,60967493-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311410-DEC24,,1,2100900,2100331_DEC24,60967494-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310816-DEC24,,1,2101500,2100331_DEC24,60967495-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300848-DEC24,,1,2102000,2100330_DEC24,60967496-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003301442-DEC24,,1,2101000,2100330_DEC24,60967497-DEC24-D18CAR-1_Weekday
